"","class","SOD1_N","APP_N","pPKCG_N","pERK_N","pCAMKII_N","CaNA_N","Tau_N","pP70S6_N","pNUMB_N","BRAF_N","Ubiquitin_N","AKT_N","S6_N","AcetylH3K9_N"
"3","c-CS-m",0.343696193,0.423187297,1.52436418,0.677348383,2.283336522,1.926426587,0.132560376,0.256648173,0.363879855,0.399846949,0.996847617,0.814329443,0.386086771,0.185456294
"4","c-CS-m",0.344509298,0.410614904,1.612382051,0.583276775,2.152300801,1.700563438,0.123209558,0.398534003,0.366770734,0.385638659,0.990224696,0.727704629,0.290679519,0.159799063
"6","c-CS-m",0.327597795,0.391047184,1.634615385,0.566339562,2.14128243,1.816388575,0.130514706,0.382578304,0.347224089,0.36940449,0.920178167,0.672402205,0.332367081,0.175692873
"7","c-CS-m",0.345380264,0.405562539,1.773845525,0.509899434,2.012413576,1.528483858,0.115978749,0.465116279,0.360307982,0.395977373,1.028769922,0.646134507,0.266857376,0.147854516
"9","c-CS-m",0.309164733,0.351218097,1.805248619,0.476653132,1.861513921,1.834599448,0.123964088,0.421693735,0.312064965,0.326566125,0.94690953,0.600638051,0.294112569,0.158839779
"10","c-CS-m",0.373965691,0.380423814,1.926596223,0.455499495,1.717860747,1.516861511,0.117580935,0.505751766,0.358627649,0.335418769,0.970323741,0.570534813,0.24977518,0.145458633
"11","c-CS-m",0.34684776,0.418812082,1.902901531,0.461179809,1.724508413,1.613548092,0.125999543,0.513277924,0.341374417,0.346036894,0.940370117,0.547536996,0.275416952,0.144391135
"13","c-CS-m",0.322378062,0.366338706,1.904005525,0.471844254,1.508687461,1.426933702,0.117403315,0.464098807,0.32593678,0.384969646,0.997237569,0.494871258,0.244889503,0.137845304
"14","c-CS-m",0.339970345,0.367295065,1.972577697,0.463249312,1.50900233,1.500070314,0.117283083,0.462825673,0.329379369,0.343359458,0.980874701,0.524465156,0.254957109,0.136408381
"17","c-CS-m",0.362102351,0.389626556,0.963388704,1.07593361,2.118810512,1.363189369,0.184186047,0.216459198,0.474965422,0.555325035,1.115681063,0.810511757,0.380730897,0.106644518
"23","c-CS-m",0.381447964,0.411085973,0.963338973,0.850452489,2.045475113,1.219966159,0.159052453,0.25520362,0.484162896,0.473076923,1.118668923,0.743438914,0.323068246,0.096559504
"24","c-CS-m",0.357896959,0.378378378,0.937748784,0.822212838,1.940878378,1.246130031,0.153803627,0.228673986,0.421030405,0.39379223,0.979544449,0.685388514,0.312030075,0.086023883
"25","c-CS-m",0.399836021,0.376878929,0.98305548,0.711943154,1.783820716,1.077480186,0.164252528,0.318939601,0.491117792,0.469527193,1.154413774,0.660836294,0.251571468,0.121754578
"26","c-CS-m",0.447992412,0.46095479,0.929039301,0.839076826,2.082832754,1.144377729,0.155977074,0.39203288,0.562440721,0.498261144,1.068367904,0.742333228,0.29121179,0.095387555
"29","c-CS-m",0.408343869,0.389380531,0.853693636,0.686156764,1.487357775,0.994403582,0.143428206,0.340391909,0.474399494,0.40676359,1.030060761,0.616940582,0.232651103,0.090502079
"30","c-CS-m",0.361290323,0.366513057,0.890453578,0.695852535,1.462365591,1.030948092,0.136400851,0.32688172,0.459293395,0.421198157,1.009988538,0.568970814,0.239233666,0.081218274
"31","c-CS-m",0.358148704,0.442921517,0.605804827,1.022812617,1.765114532,1.649982724,0.353719335,0.214513706,0.488265115,0.534547503,1.180117479,1.028539241,0.676686905,0.135248532
"33","c-CS-m",0.383853626,0.459964161,0.603165027,1.025841743,1.783551825,1.564924819,0.335483572,0.235216448,0.539469961,0.555031595,1.063393354,1.05856833,0.590310006,0.122888435
"41","c-CS-m",0.39116481,0.425901454,0.815752949,0.781952048,2.746837833,1.681702521,0.245662734,0.212573155,0.492920521,0.468378327,1.48912792,0.883518973,0.52475133,0.125607217
"43","c-CS-m",0.353691887,0.384229717,0.785832643,0.731084777,2.586144029,1.615575808,0.228666114,0.189835916,0.477666363,0.458523245,1.352112676,0.80515041,0.529549848,0.12054681
"49","c-CS-m",0.329426538,0.408120553,0.925126607,0.719966513,2.663038928,1.699259836,0.272536034,0.182363611,0.471885029,0.37449421,1.322399688,0.858099623,0.50377873,0.105259057
"50","c-CS-m",0.339643653,0.415089087,0.910764981,0.729955457,2.652561247,1.705363309,0.264789381,0.182488864,0.486219376,0.384326281,1.228420164,0.886553452,0.498810711,0.10319957
"52","c-CS-m",0.319839411,0.382234861,0.950364526,0.643860823,2.724322516,1.653051034,0.226905023,0.171462027,0.446637671,0.351789896,1.347248577,0.800434928,0.472585639,0.098571857
"54","c-CS-m",0.340357384,0.4045853,0.953795698,0.630310182,2.754551585,1.607118742,0.237387865,0.181557653,0.496797033,0.360923803,1.30529565,0.847774781,0.507668564,0.099064339
"55","c-CS-m",0.347484277,0.426100629,0.894361548,0.619721473,2.618598383,1.739865311,0.204014261,0.17228212,0.442722372,0.388814016,1.413706589,0.751347709,0.548395616,0.080021128
"62","c-CS-m",0.31456747,0.392085882,0.876159182,0.674447635,3.513543877,1.769404892,0.220518437,0.156409936,0.481462988,0.311571589,1.215991238,0.809511921,0.444249726,0.116465863
"64","c-CS-m",0.314683104,0.406827881,0.861657985,0.607554923,3.867235657,1.682969895,0.196080162,0.174174174,0.465307413,0.316895843,1.290103293,0.740319267,0.413701775,0.109826079
"66","c-CS-m",0.322590887,0.384187966,0.87143894,0.588347357,3.859183997,1.72409726,0.199872981,0.175583426,0.489125258,0.319257025,1.295953547,0.754722972,0.407729995,0.102159318
"68","c-CS-m",0.318448884,0.375636506,0.859593092,0.511946729,3.69800235,1.61497516,0.188549799,0.189385037,0.464943204,0.300430866,1.307546723,0.686839013,0.381476224,0.096995505
"70","c-CS-m",0.316503039,0.384525479,0.830522532,0.528517999,3.471482001,1.538291402,0.188830523,0.201963534,0.467741935,0.315334268,1.34835499,0.615708275,0.340060824,0.092756428
"76","c-CS-m",0.340857393,0.441557305,1.862368101,0.969466317,3.72808399,1.627181412,0.210379464,0.252055993,0.361417323,0.512773403,1.139153815,0.873228346,0.54104099,0.134638799
"77","c-CS-m",0.337682403,0.437253219,1.692204435,0.991845494,3.648240343,1.562096053,0.193397633,0.252017167,0.360257511,0.511502146,1.227851248,0.789012876,0.539226409,0.136273243
"80","c-CS-m",0.309478192,0.411360307,1.969798658,0.815056914,3.871971148,1.607631121,0.19711658,0.354671475,0.346556971,0.486306773,1.132736764,0.715879635,0.491797166,0.124347502
"81","c-CS-m",0.304720552,0.409374304,1.960879285,0.836450679,3.843464707,1.506520119,0.204359165,0.294032509,0.351592073,0.495769316,1.176353701,0.721442886,0.483420268,0.125558867
"82","c-CS-m",0.296924129,0.379357485,1.998196278,0.719480519,3.728229665,1.54136263,0.173977208,0.370608339,0.334244703,0.432125769,1.115438223,0.652084757,0.393785357,0.107157498
"83","c-CS-m",0.287200832,0.367976067,2.015327565,0.685744017,3.572320499,1.485702513,0.170333745,0.370707596,0.342741935,0.38280437,1.141161928,0.604448491,0.409064689,0.112402143
"84","c-CS-m",0.298120805,0.379463087,2.050590502,0.690604027,3.82966443,1.509004104,0.188709272,0.381208054,0.341879195,0.419731544,1.188122958,0.657583893,0.418376748,0.11273976
"88","c-CS-m",0.267385116,0.353599024,1.875875392,0.545140301,2.479869866,0.820333253,0.096232794,0.473769825,0.349328996,0.346685645,0.750664091,0.557340382,0.226273847,0.060613378
"89","c-CS-m",0.27053429,0.349082935,1.843912223,0.513755981,2.523923445,0.788461538,0.099693252,0.518141946,0.344098884,0.295055821,0.811821614,0.547448166,0.244690892,0.066186881
